<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.13	21:24:00	1.18328	1.18334	1.18317	1.18317	81	0	0
2020.11.13	21:28:00	1.18317	1.18347	1.18317	1.18344	121	0	0
2020.11.13	21:32:00	1.18344	1.18345	1.18333	1.18334	37	0	0
2020.11.13	21:36:00	1.18334	1.18337	1.18319	1.18329	111	0	0
2020.11.13	21:40:00	1.18329	1.18347	1.18327	1.18345	86	0	0
2020.11.13	21:44:00	1.18345	1.18350	1.18329	1.18332	111	0	0
2020.11.13	21:48:00	1.18332	1.18340	1.18320	1.18332	118	0	0
2020.11.13	21:52:00	1.18333	1.18333	1.18322	1.18325	95	0	0
2020.11.13	21:56:00	1.18325	1.18336	1.18311	1.18328	136	0	0
2020.11.13	22:00:00	1.18328	1.18332	1.18315	1.18330	173	0	0
2020.11.13	22:04:00	1.18330	1.18339	1.18326	1.18336	113	0	0
2020.11.13	22:08:00	1.18337	1.18342	1.18328	1.18328	71	0	0
2020.11.13	22:12:00	1.18328	1.18334	1.18320	1.18322	78	0	0
2020.11.13	22:16:00	1.18322	1.18324	1.18312	1.18322	109	0	0
2020.11.13	22:20:00	1.18323	1.18342	1.18322	1.18342	112	0	0
2020.11.13	22:24:00	1.18342	1.18354	1.18340	1.18346	96	0	0
2020.11.13	22:28:00	1.18346	1.18351	1.18341	1.18347	118	0	0
2020.11.13	22:32:00	1.18347	1.18350	1.18334	1.18341	135	0	0
2020.11.13	22:36:00	1.18342	1.18346	1.18336	1.18342	131	0	0
2020.11.13	22:40:00	1.18342	1.18348	1.18339	1.18342	83	0	0
2020.11.13	22:44:00	1.18342	1.18342	1.18320	1.18331	103	0	0
2020.11.13	22:48:00	1.18331	1.18342	1.18326	1.18341	102	0	0
2020.11.13	22:52:00	1.18341	1.18341	1.18316	1.18316	89	0	0
2020.11.13	22:56:00	1.18316	1.18328	1.18306	1.18326	157	0	0
2020.11.13	23:00:00	1.18326	1.18343	1.18321	1.18327	130	0	0
2020.11.13	23:04:00	1.18327	1.18345	1.18322	1.18342	73	0	0
2020.11.13	23:08:00	1.18342	1.18347	1.18342	1.18346	45	0	0
2020.11.13	23:12:00	1.18346	1.18348	1.18342	1.18347	65	0	0
2020.11.13	23:16:00	1.18347	1.18347	1.18336	1.18337	22	0	0
2020.11.13	23:20:00	1.18337	1.18342	1.18336	1.18341	27	0	0
2020.11.13	23:24:00	1.18341	1.18374	1.18330	1.18330	71	0	0
2020.11.13	23:28:00	1.18330	1.18342	1.18330	1.18341	46	0	0
2020.11.13	23:32:00	1.18341	1.18342	1.18332	1.18334	36	0	0
2020.11.13	23:36:00	1.18334	1.18338	1.18331	1.18331	27	0	0
2020.11.13	23:40:00	1.18331	1.18340	1.18331	1.18336	39	0	0
2020.11.13	23:44:00	1.18336	1.18349	1.18332	1.18340	62	0	0
2020.11.13	23:48:00	1.18340	1.18348	1.18335	1.18341	105	0	0
2020.11.13	23:52:00	1.18341	1.18342	1.18323	1.18324	115	0	0
2020.11.13	23:56:00	1.18323	1.18326	1.18323	1.18325	17	0	0
2020.11.16	00:00:00	1.18402	1.18409	1.18284	1.18385	47	0	0
2020.11.16	00:04:00	1.18385	1.18385	1.18299	1.18356	44	0	1
2020.11.16	00:08:00	1.18356	1.18362	1.18320	1.18352	47	0	7
2020.11.16	00:12:00	1.18352	1.18380	1.18352	1.18364	19	0	12
2020.11.16	00:16:00	1.18364	1.18371	1.18361	1.18369	20	0	10
2020.11.16	00:20:00	1.18369	1.18372	1.18368	1.18368	8	0	4
2020.11.16	00:24:00	1.18368	1.18396	1.18307	1.18387	88	0	0
2020.11.16	00:28:00	1.18387	1.18407	1.18369	1.18384	99	0	0
2020.11.16	00:32:00	1.18384	1.18385	1.18369	1.18377	25	0	7
2020.11.16	00:36:00	1.18377	1.18379	1.18372	1.18376	10	0	6
2020.11.16	00:40:00	1.18376	1.18388	1.18374	1.18377	23	0	7
2020.11.16	00:44:00	1.18377	1.18382	1.18372	1.18382	19	0	7
2020.11.16	00:48:00	1.18382	1.18382	1.18364	1.18366	39	0	5
2020.11.16	00:52:00	1.18366	1.18371	1.18361	1.18371	18	0	12
2020.11.16	00:56:00	1.18371	1.18374	1.18361	1.18369	43	0	0
2020.11.16	01:00:00	1.18374	1.18405	1.18373	1.18400	247	0	0
2020.11.16	01:04:00	1.18400	1.18424	1.18398	1.18423	91	0	0
2020.11.16	01:08:00	1.18423	1.18432	1.18411	1.18412	103	0	0
2020.11.16	01:12:00	1.18412	1.18443	1.18409	1.18440	182	0	0
2020.11.16	01:16:00	1.18440	1.18448	1.18431	1.18440	82	0	0
2020.11.16	01:20:00	1.18440	1.18475	1.18435	1.18461	136	0	0
2020.11.16	01:24:00	1.18461	1.18464	1.18450	1.18460	110	0	0
2020.11.16	01:28:00	1.18460	1.18473	1.18457	1.18459	125	0	0
2020.11.16	01:32:00	1.18459	1.18463	1.18446	1.18462	108	0	0
