<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.12.02	00:00:00	1.10227	1.10260	1.10206	1.10209	623	0	2
2019.12.02	01:00:00	1.10209	1.10213	1.10170	1.10184	652	0	0
2019.12.02	02:00:00	1.10184	1.10196	1.10153	1.10195	968	0	0
2019.12.02	03:00:00	1.10195	1.10208	1.10176	1.10183	610	0	0
2019.12.02	04:00:00	1.10184	1.10212	1.10168	1.10168	586	0	0
2019.12.02	05:00:00	1.10168	1.10188	1.10167	1.10179	465	0	0
2019.12.02	06:00:00	1.10179	1.10206	1.10179	1.10186	320	0	0
2019.12.02	07:00:00	1.10186	1.10204	1.10182	1.10191	474	0	0
2019.12.02	08:00:00	1.10191	1.10192	1.10162	1.10168	637	0	0
2019.12.02	09:00:00	1.10168	1.10228	1.10160	1.10172	2013	0	0
2019.12.02	10:00:00	1.10172	1.10212	1.10132	1.10134	2386	0	0
2019.12.02	11:00:00	1.10134	1.10170	1.10110	1.10143	1746	0	0
2019.12.02	12:00:00	1.10143	1.10168	1.10116	1.10116	1218	0	0
2019.12.02	13:00:00	1.10116	1.10155	1.10076	1.10082	1679	0	0
2019.12.02	14:00:00	1.10082	1.10192	1.10030	1.10190	1886	0	0
2019.12.02	15:00:00	1.10191	1.10368	1.10191	1.10327	2567	0	0
2019.12.02	16:00:00	1.10328	1.10464	1.10327	1.10445	2610	0	0
2019.12.02	17:00:00	1.10447	1.10767	1.10447	1.10708	5674	0	0
2019.12.02	18:00:00	1.10708	1.10897	1.10708	1.10758	3252	0	0
2019.12.02	19:00:00	1.10758	1.10780	1.10702	1.10750	2521	0	0
2019.12.02	20:00:00	1.10750	1.10790	1.10702	1.10786	1412	0	0
2019.12.02	21:00:00	1.10786	1.10824	1.10728	1.10784	1217	0	0
2019.12.02	22:00:00	1.10784	1.10850	1.10780	1.10849	1103	0	0
2019.12.02	23:00:00	1.10848	1.10848	1.10772	1.10784	905	0	0
2019.12.03	00:00:00	1.10787	1.10825	1.10754	1.10761	707	0	2
2019.12.03	01:00:00	1.10761	1.10780	1.10748	1.10760	797	0	0
2019.12.03	02:00:00	1.10760	1.10780	1.10726	1.10736	935	0	0
2019.12.03	03:00:00	1.10736	1.10742	1.10714	1.10723	625	0	0
2019.12.03	04:00:00	1.10724	1.10732	1.10714	1.10727	614	0	0
2019.12.03	05:00:00	1.10727	1.10767	1.10716	1.10762	675	0	0
2019.12.03	06:00:00	1.10762	1.10782	1.10740	1.10740	520	0	0
2019.12.03	07:00:00	1.10740	1.10752	1.10716	1.10733	594	0	0
2019.12.03	08:00:00	1.10734	1.10787	1.10720	1.10786	691	0	0
2019.12.03	09:00:00	1.10787	1.10826	1.10748	1.10766	1517	0	0
2019.12.03	10:00:00	1.10766	1.10852	1.10760	1.10844	2412	0	0
2019.12.03	11:00:00	1.10844	1.10868	1.10764	1.10837	2419	0	0
2019.12.03	12:00:00	1.10837	1.10860	1.10660	1.10728	3728	0	0
2019.12.03	13:00:00	1.10728	1.10781	1.10718	1.10750	2096	0	0
2019.12.03	14:00:00	1.10750	1.10779	1.10714	1.10736	2030	0	0
2019.12.03	15:00:00	1.10736	1.10746	1.10690	1.10724	1830	0	0
2019.12.03	16:00:00	1.10724	1.10878	1.10700	1.10822	3469	0	0
2019.12.03	17:00:00	1.10822	1.10875	1.10756	1.10822	3283	0	0
2019.12.03	18:00:00	1.10822	1.10928	1.10782	1.10890	2870	0	0
2019.12.03	19:00:00	1.10889	1.10935	1.10849	1.10884	1352	0	0
2019.12.03	20:00:00	1.10882	1.10906	1.10824	1.10826	1316	0	0
2019.12.03	21:00:00	1.10826	1.10842	1.10802	1.10812	1236	0	0
2019.12.03	22:00:00	1.10812	1.10833	1.10806	1.10808	894	0	0
2019.12.03	23:00:00	1.10808	1.10820	1.10792	1.10818	588	0	0
2019.12.04	00:00:00	1.10812	1.10825	1.10804	1.10816	616	0	2
2019.12.04	01:00:00	1.10816	1.10833	1.10810	1.10819	646	0	0
2019.12.04	02:00:00	1.10819	1.10844	1.10808	1.10818	1172	0	0
2019.12.04	03:00:00	1.10818	1.10824	1.10768	1.10792	1329	0	0
2019.12.04	04:00:00	1.10792	1.10811	1.10782	1.10798	776	0	0
2019.12.04	05:00:00	1.10798	1.10813	1.10784	1.10791	590	0	0
2019.12.04	06:00:00	1.10791	1.10792	1.10738	1.10750	692	0	0
